City,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Healthcare Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year,Continent,Latitude,Longitude
Cape Town,South Africa,146.98,75.83,26.6,70.35,40.98,5.83,43.09,39.07,98.19,2022,Africa,-33.928992,18.417396
Winnipeg,Canada,146.93,101.59,42.18,69.16,70.33,3.54,31.46,36.57,24.67,2022,North America,49.8955367,-97.1384584
Riga,Latvia,146.62,52.82,62.22,61.22,51.54,8.79,32.15,37.49,74.7,2022,Europe,56.9493977,24.1051846
Haifa,Israel,146.32,77.61,72.54,74.27,87.44,8.44,29.7,74.79,93.57,2022,Asia,32.8191218,34.9983856
Tel Aviv-Yafo,Israel,146.14,70.22,73.81,74.61,94.49,20.71,36.99,47.01,93.88,2022,Asia,32.0852997,34.7818064
Manama,Bahrain,144.68,62.59,78.92,66.42,54.3,6.19,30.75,61.24,64.31,2022,Asia,26.2235041,50.5822436
Jeddah (Jiddah),Saudi Arabia,143.18,76.08,71.01,58.72,52.57,3.24,28.71,68.18,66.17,2022,Asia,21.48371595,39.17290852271105
Dublin,Ireland,142.63,81.82,48.3,51.61,79.05,8.11,40.41,40.95,85.89,2022,Europe,53.3497645,-6.2602732
Brussels,Belgium,142.44,87.04,48.27,74.57,74.39,6.93,37.0,62.13,83.85,2022,Europe,50.8465573,4.351697
Los Angeles,United States,142.04,126.12,50.25,61.43,79.19,6.43,61.07,67.59,95.5,2022,North America,34.0536909,-118.242766
Genoa,Italy,141.97,51.57,58.4,71.55,72.79,8.25,35.04,52.63,95.0,2022,Europe,44.40726,8.9338624
Hamilton,Canada,141.68,86.35,45.84,80.64,66.95,8.67,33.03,54.77,61.06,2022,North America,43.2560802,-79.8728583
Gdansk,Poland,141.49,64.36,67.95,50.44,41.32,12.73,29.53,47.92,75.51,2022,Europe,54.36119285,18.62860883362069
Taipei,Taiwan,141.13,59.33,85.68,87.42,65.8,31.6,33.9,50.11,84.38,2022,Asia,25.0375198,121.5636796
Islamabad,Pakistan,140.77,29.52,70.73,63.81,21.5,10.08,35.05,41.71,76.91,2022,Asia,33.6938118,73.0651511
Barcelona,Spain,140.61,70.83,51.9,77.64,61.15,11.44,30.09,66.05,95.73,2022,Europe,41.3828939,2.1774322
Bologna,Italy,139.41,58.89,54.23,79.17,69.79,10.93,32.66,57.1,88.12,2022,Europe,44.4938203,11.3426327
Brasilia,Brazil,139.07,43.54,39.77,51.17,36.84,11.2,29.74,32.89,98.97,2022,Latin America,-10.3333333,-53.2
Poznan,Poland,138.84,58.32,72.51,54.18,40.72,10.66,30.48,57.36,77.41,2022,Europe,52.4006632,16.91973259178088
Thiruvananthapuram,India,138.81,73.73,60.33,60.81,21.75,5.52,42.38,56.82,64.78,2022,Asia,8.5241122,76.9360573
Durban,South Africa,138.54,73.88,19.4,57.71,40.33,3.2,26.11,53.07,95.61,2022,Africa,-29.861825,31.009909
Nizhny Novgorod,Russia,138.09,34.95,68.3,74.27,33.89,13.78,29.25,34.69,45.51,2022,Europe,56.3264816,44.0051395
New York,United States,137.97,100.0,52.93,62.38,100.0,9.94,42.77,58.02,79.66,2022,North America,40.7127281,-74.0060152
Nicosia,Cyprus,137.87,60.28,67.34,50.72,64.53,6.01,25.25,65.67,86.01,2022,Asia,35.1748976,33.3638568
Izmir,Turkey,137.36,35.18,69.96,72.91,28.37,10.36,40.36,59.66,96.88,2022,Asia,38.4224548,27.1310699
Curitiba,Brazil,137.26,32.28,37.71,66.29,31.81,13.97,32.24,31.43,99.6,2022,Latin America,-25.4295963,-49.2712724
Sharjah,United Arab Emirates,136.38,56.71,85.83,61.16,49.03,3.83,54.74,48.04,43.35,2022,Asia,25.3575436,55.3882729
Pretoria,South Africa,136.02,87.26,17.98,66.48,42.76,2.08,45.51,55.94,95.83,2022,Africa,-25.7459277,28.1879101
Warsaw,Poland,135.18,66.04,73.84,59.39,43.94,14.76,35.2,60.04,74.61,2022,Europe,52.2319581,21.0067249
Wroclaw,Poland,134.88,59.89,71.89,56.89,41.12,11.94,33.84,61.4,78.39,2022,Europe,51.1263106,16.97819633051261
Novi Sad,Serbia,134.03,42.73,59.06,50.73,37.44,15.16,16.36,50.71,84.02,2022,Europe,45.2551338,19.8451756
Varna,Bulgaria,133.19,46.29,62.89,61.79,39.14,8.62,30.85,62.82,85.08,2022,Europe,43.2073873,27.9166653
Lodz,Poland,133.11,57.76,57.95,57.45,37.94,10.77,34.86,53.45,77.02,2022,Europe,51.7687323,19.4569911
Detroit,United States,132.98,110.05,25.19,62.39,70.68,1.39,45.09,59.4,66.03,2022,North America,42.3315509,-83.0466403
London,United Kingdom,132.83,88.79,46.75,70.62,85.62,14.5,43.72,58.22,88.25,2022,Europe,51.5073219,-0.1276474
Krakow (Cracow),Poland,132.72,67.1,72.42,59.31,41.3,12.26,30.81,70.32,73.86,2022,Europe,50.047136,19.8896389
Turin,Italy,131.99,67.23,50.13,66.91,65.19,7.29,29.52,70.08,85.66,2022,Europe,45.0677551,7.6824892
Bangalore,India,128.82,102.64,44.82,65.23,28.2,5.7,52.64,83.54,89.39,2022,Asia,12.9767936,77.590082
Iasi,Romania,128.52,44.06,70.51,56.33,37.13,11.57,34.26,58.24,73.04,2022,Europe,47.1615341,27.5836142
Ankara,Turkey,128.17,39.07,60.26,69.1,27.17,11.06,36.44,65.6,91.49,2022,Asia,39.9207886,32.8540482
Lviv,Ukraine,127.46,38.3,60.41,59.6,29.67,11.47,32.94,51.31,69.61,2022,Europe,49.841952,24.0315921
San Juan,Puerto Rico,126.22,66.7,31.16,63.45,70.14,5.54,37.46,50.83,71.25,2022,Latin America,18.465299,-66.116666
Campinas,Brazil,125.34,31.54,33.5,60.98,39.76,11.75,27.96,47.5,98.87,2022,Latin America,-22.90556,-47.06083
Budapest,Hungary,125.15,52.66,64.6,51.18,46.13,14.63,38.97,54.14,78.41,2022,Europe,47.4979937,19.0403594
Sofia,Bulgaria,124.66,55.31,57.48,57.48,42.24,9.02,30.7,68.92,76.01,2022,Europe,42.6978634,23.3221789
Johannesburg,South Africa,124.6,72.15,19.27,60.54,44.87,2.99,40.68,61.14,91.38,2022,Africa,-26.205,28.049722
Paris,France,124.21,80.2,45.04,79.64,84.35,19.15,42.52,64.31,88.39,2022,Europe,48.8588897,2.3200410217200766
Chiang Mai,Thailand,124.13,29.88,76.69,83.81,42.22,16.59,25.75,76.97,75.93,2022,Asia,18.7882778,98.9858802
Coimbatore,India,123.23,40.73,60.04,70.76,23.45,9.25,47.5,63.1,78.1,2022,Asia,11.0018115,76.9628425
Medellin,Colombia,122.94,32.78,48.01,77.05,28.81,13.74,39.18,63.07,99.76,2022,Latin America,6.2443382,-75.573553
Guadalajara,Mexico,122.89,35.99,38.23,79.95,34.05,8.22,40.72,62.34,92.83,2022,Latin America,20.6720375,-103.338396
Astana (Nur-Sultan),Kazakhstan,122.66,41.0,66.81,67.28,30.3,7.94,31.86,51.36,21.26,2022,Asia,51.1282205,71.4306682
Monterrey,Mexico,122.44,42.98,52.56,68.72,38.46,9.17,31.3,69.98,80.37,2022,Latin America,25.6802019,-100.315258
Seoul,South Korea,122.19,74.5,74.23,82.33,78.66,32.32,42.22,58.75,68.39,2022,Asia,37.5666791,126.9782914
Milan,Italy,120.74,53.96,55.44,72.0,74.8,16.38,36.5,66.95,88.12,2022,Europe,45.4641943,9.1896346
Florianopolis,Brazil,120.62,29.31,48.21,58.92,34.39,17.83,46.59,39.82,97.0,2022,Latin America,-27.5973002,-48.5496098
Yerevan,Armenia,120.4,29.73,77.99,56.94,34.01,17.11,31.82,56.98,63.42,2022,Asia,40.1776245,44.5126174
Bucharest,Romania,119.28,53.15,72.06,54.88,40.1,10.14,41.27,75.57,75.61,2022,Europe,44.4361414,26.1027202
Sarajevo,Bosnia And Herzegovina,119.1,43.73,55.51,57.77,38.42,11.74,28.63,68.12,78.18,2022,Europe,43.8519774,18.3866868
Montevideo,Uruguay,118.21,30.79,45.62,68.28,52.0,20.33,37.84,48.68,98.04,2022,Latin America,-34.9058916,-56.1913095
Pune,India,118.18,53.68,58.42,66.24,27.57,12.05,43.47,70.85,74.32,2022,Asia,18.521428,73.8544541
Athens,Greece,117.55,40.03,44.11,56.66,58.97,11.78,38.08,57.29,95.18,2022,Europe,37.9839412,23.7283052
San Jose,Costa Rica,116.6,42.86,44.63,62.49,47.65,9.61,64.02,51.95,99.48,2022,Latin America,9.9325427,-84.0795782
Chisinau,Moldova,116.33,34.38,55.2,49.47,31.82,10.46,27.55,64.55,76.91,2022,Europe,47.0245117,28.8322923
Thessaloniki,Greece,116.14,37.91,46.25,56.21,58.4,11.18,29.19,63.72,88.39,2022,Europe,40.6403167,22.9352716
Hyderabad,India,115.28,51.21,56.04,64.95,26.61,8.71,42.8,76.41,73.54,2022,Asia,17.360589,78.4740613
Tbilisi,Georgia,114.4,29.47,74.93,53.73,30.95,13.63,37.57,73.36,84.2,2022,Asia,41.6934591,44.8014495
Amman,Jordan,113.05,29.51,61.99,65.67,52.18,8.83,42.39,75.68,89.05,2022,Asia,31.9515694,35.9239625
Kiev (Kyiv),Ukraine,112.76,48.16,54.55,57.03,34.11,11.43,42.96,65.38,69.95,2022,Europe,50.4485578,30.52716228586082
Kuwait City,Kuwait,112.25,68.84,69.2,59.62,48.0,15.75,32.11,65.81,20.22,2022,Asia,29.3797091,47.9735629
Ahmedabad,India,111.38,39.11,67.43,66.43,26.01,10.48,38.2,73.19,49.27,2022,Asia,23.0216238,72.5797068
Kuala Lumpur,Malaysia,111.32,64.04,36.15,67.76,39.25,9.12,41.78,66.59,56.55,2022,Asia,3.1516964,101.6942371
Porto Alegre,Brazil,111.06,31.24,26.44,63.3,32.33,16.05,31.98,56.43,98.74,2022,Latin America,-30.0324999,-51.2303767
Rome,Italy,110.32,51.33,46.85,60.46,71.0,17.09,41.36,66.27,93.7,2022,Europe,41.8933203,12.4829321
Quito,Ecuador,109.99,29.69,39.28,68.56,40.48,12.75,42.14,66.1,98.97,2022,Latin America,-0.2201641,-78.5123274
Kharkiv,Ukraine,109.93,33.98,51.46,47.75,30.46,10.54,37.82,56.67,65.35,2022,Europe,49.9923181,36.2310146
Belgrade,Serbia,108.21,36.05,61.91,54.28,40.05,21.36,35.91,65.4,84.14,2022,Europe,44.8178131,20.4568974
Panama City,Panama,108.21,32.31,52.53,59.69,54.54,11.73,34.61,64.47,67.84,2022,Latin America,30.1600827,-85.6545729
Gurgaon,India,107.74,74.9,44.27,65.42,34.1,7.22,37.63,91.57,59.87,2022,Asia,28.42826235,77.00270014657752
Minsk,Belarus,107.65,31.15,40.15,46.52,32.79,18.86,30.22,41.56,64.37,2022,Europe,53.9024716,27.5618225
Odessa (Odesa),Ukraine,107.26,32.72,46.45,50.81,31.94,12.21,36.51,63.07,79.0,2022,Europe,46.48590215,30.68363780440557
Moscow,Russia,105.57,49.56,62.33,64.61,42.2,22.23,51.08,56.82,55.83,2022,Europe,55.7504461,37.6174943
Baku,Azerbaijan,104.86,28.03,69.14,44.57,31.6,16.83,37.63,75.61,91.4,2022,Asia,40.3754434,49.8326748
Istanbul,Turkey,104.78,28.73,52.46,69.18,31.14,16.26,52.27,69.17,93.02,2022,Asia,41.0091982,28.9662187
Belo Horizonte,Brazil,104.45,20.99,36.23,63.61,32.5,20.78,43.23,52.05,98.5,2022,Latin America,-19.9227318,-43.9450948
Saint Petersburg,Russia,103.4,40.77,60.88,59.41,37.81,17.95,48.35,62.15,60.64,2022,Europe,59.938732,30.316229
Skopje,North Macedonia,103.27,37.02,52.92,55.58,34.9,12.93,28.11,82.77,76.3,2022,Europe,41.9960924,21.4316495
Shenzhen,China,103.2,68.96,66.97,59.57,51.08,44.03,36.45,62.39,81.8,2022,Asia,22.5445741,114.0545429
Chennai,India,102.91,46.31,59.43,70.26,26.08,14.72,47.53,75.12,53.22,2022,Asia,13.0836939,80.270186
Lahore,Pakistan,102.53,24.42,61.26,63.0,21.53,14.13,33.78,78.62,67.56,2022,Asia,31.5656822,74.3141829
Santiago,Chile,102.07,32.08,42.36,65.99,45.64,18.59,36.99,70.14,90.21,2022,Latin America,-33.4377756,-70.6504502
Noida,India,98.97,62.57,42.03,66.78,29.21,6.4,44.96,92.43,58.9,2022,Asia,28.5707841,77.3271074
Hong Kong,Hong Kong,98.42,65.74,78.08,66.34,80.71,46.93,42.56,67.57,83.64,2022,Asia,22.2793278,114.1628131
Hanoi,Vietnam,97.48,30.67,61.86,57.1,36.85,17.27,28.68,89.42,79.04,2022,Asia,21.0294498,105.8544441
Dnipro,Ukraine,97.47,32.74,48.56,52.26,29.26,10.81,32.83,80.75,69.52,2022,Europe,48.4680221,35.0417711
Guatemala City,Guatemala,94.93,24.37,37.54,61.9,44.59,14.84,48.19,72.38,99.89,2022,Latin America,14.6222328,-90.5185188
Yekaterinburg,Russia,93.72,57.77,52.75,50.27,33.23,9.51,38.37,76.44,21.33,2022,Europe,56.839104,60.60825
Buenos Aires,Argentina,93.66,26.89,36.93,69.39,35.25,33.52,48.15,52.43,98.28,2022,Latin America,-34.6075682,-58.4370894
Kolkata,India,93.0,44.66,53.45,57.74,25.99,9.98,60.36,78.33,60.9,2022,Asia,22.5414185,88.35769124388872
Tirana,Albania,90.49,31.15,56.1,48.69,38.68,15.72,39.93,88.11,86.43,2022,Europe,41.3281482,19.8184435
Casablanca,Morocco,89.3,34.07,44.41,45.17,36.59,14.76,48.09,82.25,98.08,2022,Africa,33.5675527,-7.618756606822727
Mexico City,Mexico,88.08,36.74,30.93,65.29,37.41,14.17,52.45,82.27,92.37,2022,Latin America,19.4326296,-99.1331785
Bogota,Colombia,87.04,26.1,35.1,64.73,27.94,23.49,51.96,70.42,97.12,2022,Latin America,4.6533326,-74.083652
Kathmandu,Nepal,86.31,23.16,63.08,56.76,29.87,23.07,36.87,95.37,92.64,2022,Asia,27.708317,85.3205817
Novosibirsk,Russia,85.74,38.35,52.7,55.81,32.26,12.34,40.58,71.7,16.14,2022,Europe,55.0282171,82.9234509
Bangkok,Thailand,85.01,29.77,58.5,77.08,50.36,26.79,46.18,77.28,58.39,2022,Asia,13.7525438,100.4934734
Sao Paulo,Brazil,83.92,29.23,29.8,58.5,37.51,17.0,50.49,79.64,99.04,2022,Latin America,-23.5506507,-46.6333824
Karachi,Pakistan,83.56,29.16,46.59,56.9,20.75,15.14,41.48,89.97,71.32,2022,Asia,24.8546842,67.0207055
Nairobi,Kenya,83.27,29.23,41.06,62.15,35.88,22.13,56.62,79.57,99.79,2022,Africa,-1.2832533,36.8172449
Delhi,India,83.1,60.44,40.69,66.86,28.23,15.94,57.37,90.52,58.9,2022,Asia,28.6517178,77.2219388
Shanghai,China,82.66,53.0,65.68,61.64,53.9,43.81,47.42,76.5,83.64,2022,Asia,31.2322758,121.4692071
Almaty,Kazakhstan,82.35,33.55,34.76,47.59,30.22,12.11,38.98,78.45,58.3,2022,Asia,43.2363924,76.9457275
Cairo,Egypt,82.01,24.38,50.22,45.09,32.39,11.0,50.21,91.54,88.45,2022,Africa,30.0443879,31.2357257
Lima,Peru,78.81,28.89,29.83,58.4,34.6,18.37,50.04,85.11,97.69,2022,Latin America,-12.0621065,-77.0365256
Beirut,Lebanon,76.43,15.4,53.13,64.94,120.47,19.48,39.82,93.63,94.74,2022,Asia,33.88922645,35.50255852895232
Caracas,Venezuela,75.68,15.87,15.73,38.38,45.31,15.91,34.85,73.99,99.93,2022,Latin America,10.506098,-66.9146017
Mumbai,India,75.62,48.03,54.82,64.81,29.33,34.64,54.65,83.79,71.48,2022,Asia,19.0759899,72.8773928
Ho Chi Minh City,Vietnam,68.56,30.87,46.16,59.84,39.01,30.58,31.81,92.35,63.44,2022,Asia,10.7715512,106.6983801
Jakarta,Indonesia,67.49,25.32,46.5,56.76,40.86,23.04,52.88,84.42,63.76,2022,Asia,-6.1753942,106.827183
Beijing,China,65.18,53.08,66.64,64.86,49.53,52.21,44.61,82.59,57.64,2022,Asia,39.906217,116.3912757
Rio de Janeiro,Brazil,64.06,18.93,22.43,44.83,36.67,27.61,51.09,67.86,88.22,2022,Latin America,-22.9110137,-43.2093727
Colombo,Sri Lanka,62.58,18.58,59.59,72.05,33.62,48.45,62.17,60.41,59.11,2022,Asia,6.9387469,79.8541134
Dhaka,Bangladesh,55.07,23.81,35.93,40.16,35.12,17.48,57.85,93.5,71.29,2022,Asia,23.7861979,90.4026151
Lagos,Nigeria,49.38,8.3,34.06,46.27,37.33,12.71,66.78,89.85,60.75,2022,Africa,6.4550575,3.3941795
Tehran,Iran,46.26,14.55,45.14,52.69,31.47,42.99,53.06,81.29,70.99,2022,Asia,35.6892523,51.3896004
Manila,Philippines,43.13,22.24,35.61,63.26,40.77,38.3,54.02,89.86,61.23,2022,Asia,14.5948914,120.9782618
Adelaide,Australia,203.19,100.23,71.37,80.99,80.4,4.51,24.02,18.11,94.96,2021,Oceania,-34.9281805,138.5999312
Canberra,Australia,201.85,94.9,78.17,81.44,84.6,5.59,24.05,13.89,82.72,2021,Oceania,-35.2975906,149.1012676
Wellington,New Zealand,200.01,96.54,71.54,74.9,78.47,6.07,27.74,13.66,97.68,2021,Oceania,-41.2887953,174.7772114
Raleigh,United States,199.23,124.39,65.55,75.62,71.18,3.18,32.27,22.61,83.88,2021,North America,35.7803977,-78.6390989
Zurich,Switzerland,196.51,117.91,83.6,75.94,135.49,8.01,33.78,17.31,81.48,2021,Europe,47.3744489,8.5410422
The Hague (Den Haag),Netherlands,194.63,92.65,74.84,78.02,72.55,5.97,29.32,20.07,90.61,2021,Europe,52.0799838,4.3113461
Madison,United States,192.32,113.23,67.15,78.89,68.69,3.59,23.59,19.59,51.64,2021,North America,43.074761,-89.3837613
Columbus,United States,191.12,122.05,56.57,74.19,73.13,2.45,25.56,25.32,71.29,2021,North America,39.9622601,-83.0007065
Austin,United States,188.46,129.63,64.2,70.69,63.04,3.59,34.12,36.27,82.08,2021,North America,30.2711286,-97.7436995
Brisbane,Australia,187.71,96.93,64.76,82.23,84.71,5.95,40.03,21.88,98.07,2021,Oceania,-27.4689682,153.0234991
Eindhoven,Netherlands,187.38,85.29,75.95,73.04,82.62,6.42,25.35,22.55,85.38,2021,Europe,51.4392648,5.478633
Victoria,Canada,187.37,87.61,64.68,69.89,72.64,7.27,28.47,15.05,92.52,2021,North America,48.4283182,-123.3649533
Charlotte,United States,186.65,120.0,55.81,73.88,72.66,3.01,35.19,28.44,84.05,2021,North America,35.2272086,-80.8430827
Vienna,Austria,185.8,87.36,74.74,78.94,71.31,13.12,26.51,17.76,81.77,2021,Europe,48.2083537,16.3725042
Geneva,Switzerland,184.04,109.73,72.74,73.08,131.75,9.45,25.49,26.44,82.61,2021,Europe,46.2017559,6.1466014
Richmond,United States,183.89,106.27,54.98,73.86,68.31,3.84,21.96,31.63,81.27,2021,North America,37.5385087,-77.43428
San Diego,United States,183.74,112.72,63.49,70.15,80.22,5.24,33.8,35.04,97.08,2021,North America,32.7174202,-117.1627728
Perth,Australia,183.4,99.43,57.79,77.6,84.64,6.33,35.83,23.25,95.71,2021,Oceania,-31.9558964,115.8605801
Bergen,Norway,183.31,86.5,71.91,75.77,104.07,7.55,23.77,20.97,78.83,2021,Europe,60.3943055,5.3259192
Copenhagen,Denmark,182.71,84.96,72.46,77.68,97.49,8.39,28.61,21.06,83.74,2021,Europe,55.6867243,12.5700724
Luxembourg,Luxembourg,182.68,100.48,72.45,74.51,89.65,11.66,33.24,20.75,82.62,2021,Europe,49.6112768,6.129799
Buffalo,United States,181.27,94.89,55.01,76.84,72.95,2.01,22.17,25.02,66.43,2021,North America,42.8867166,-78.8783922
Dallas,United States,180.73,141.09,50.29,65.61,64.8,2.35,35.22,41.92,81.85,2021,North America,32.7762719,-96.7968559
Seattle,United States,179.84,121.2,50.89,73.49,89.48,5.23,41.57,28.63,91.73,2021,North America,47.6038321,-122.3300624
Reykjavik,Iceland,179.71,69.81,77.94,66.68,98.75,6.57,20.04,15.49,68.81,2021,Europe,64.145981,-21.9422367
Quebec City,Canada,179.25,92.31,85.24,71.23,67.37,4.56,27.91,29.29,47.98,2021,North America,46.8183175,-71.2143518
Kansas City,United States,178.85,113.55,40.59,79.4,68.86,2.28,26.29,32.03,75.08,2021,North America,39.100105,-94.5781416
Calgary,Canada,177.49,113.16,65.51,76.43,73.65,3.71,30.1,24.0,33.09,2021,North America,51.0460954,-114.065465
Sydney,Australia,177.34,96.3,66.33,77.92,89.11,9.41,43.29,26.86,97.07,2021,Oceania,-33.8698439,151.2082848
Helsinki,Finland,177.14,82.88,74.73,77.49,81.43,12.78,30.97,13.34,62.79,2021,Europe,60.1674881,24.9427473
Edinburgh,United Kingdom,177.09,78.27,69.43,80.69,75.96,8.76,28.85,27.65,84.01,2021,Europe,55.9533456,-3.1883749
Muscat,Oman,176.55,90.26,78.93,59.68,52.31,5.01,21.06,36.8,67.22,2021,Asia,23.61515,58.5912467
